Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
rateoe-space-adventurer-cat-metal-poster,,,,,,,,Size,31x23 (A1),,,,,,0,,,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/5_3f5d3f3f-15e1-42e9-88a8-7f8f22ca6429.png?v=1774044614,5,Rateoe Space Adventurer Cat Metal Poster,,,,,kg,
snowboarding-astronaut-metal-poster,Snowboarding Astronaut Metal Poster,"<p>The Snowboarding Astronaut Metal Poster is the ultimate wall art for dreamers, adventurers &amp; space enthusiasts. Vibrant, durable &amp; endlessly cool, this premium Snowboarding Astronaut Metal Poster adds a cosmic twist to any room. Shop at Walltistic and launch your walls today.</p>",MetalPosters,,UHD Metal Poster,"Abstract, Art, New Arrival",true,Size,8x5.5 (A5),,,,,,0,,,deny,manual,999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/1_e5e597bc-ecca-41f7-b06e-cebe8f217ae7.png?v=1773925629,1,Snowboarding Astronaut Metal Poster,false,Snowboarding Astronaut Metal Poster,"The Snowboarding Astronaut Metal Poster is the ultimate wall art for dreamers, adventurers & space enthusiasts. Vibrant, durable & endlessly cool, this premium Snowboarding Astronaut Metal Poster adds a cosmic twist to any room. Shop at Walltistic and launch your walls today.",,kg,active
snowboarding-astronaut-metal-poster,,,,,,,,Size,8x11 (A4),,,,,,0,,,deny,manual,1349.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/2_4e537540-e054-440a-b084-1b98a76d94ee.png?v=1773925626,2,Snowboarding Astronaut Metal Poster,,,,,kg,
snowboarding-astronaut-metal-poster,,,,,,,,Size,15x11 (A3),,,,,,0,,,deny,manual,2499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/3_99f310af-eec0-468b-9feb-2d92b6b9aeef.png?v=1773925626,3,Snowboarding Astronaut Metal Poster,,,,,kg,
snowboarding-astronaut-metal-poster,,,,,,,,Size,23x15 (A2),,,,,,0,,,deny,manual,4499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/4_8c286a9c-8229-4d33-8ff6-4f4f3a832902.png?v=1773925627,4,Snowboarding Astronaut Metal Poster,,,,,kg,
snowboarding-astronaut-metal-poster,,,,,,,,Size,31x23 (A1),,,,,,0,,,deny,manual,8250.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/5_22eba74f-254c-4f27-b09e-0fc9b832869a.png?v=1773925625,5,Snowboarding Astronaut Metal Poster,,,,,kg,
avengers-thanos-metal-poster,Avengers Thanos Metal Poster,"<p>The Avengers Thanos Metal Poster is a must-have wall art piece for every Marvel fan. Unleash the power of the Mad Titan on your walls. Strikingly bold, vibrant, and built to last, this premium Avengers Thanos Metal Poster brings cinematic energy to any room. Shop at Walltistic and own it today.</p>",MetalPosters,,UHD Metal Poster,"Movies, Super Heroes",true,Size,8x5.5 (A5),,,,,,0,,,deny,manual,999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/1_c2843742-5314-4d60-9cb4-a5d40a29eebf.png?v=1773923969,1,Avengers Thanos Metal Poster,false,Avengers Thanos Metal Poster,"The Avengers Thanos Metal Poster is a must-have wall art piece for every Marvel fan. Unleash the power of the Mad Titan on your walls. Strikingly bold, vibrant, and built to last, this premium Avengers Thanos Metal Poster brings cinematic energy to any room. Shop at Walltistic and own it today.",,kg,active
avengers-thanos-metal-poster,,,,,,,,Size,8x11 (A4),,,,,,0,,,deny,manual,1349.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/2_193aa55a-7950-4aae-bd0a-f734657cf503.png?v=1773923969,2,Avengers Thanos Metal Poster,,,,,kg,
avengers-thanos-metal-poster,,,,,,,,Size,15x11 (A3),,,,,,0,,,deny,manual,2499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/3_3c7e874a-4463-4fae-9ae2-1fba8a268a9b.png?v=1773923968,3,Avengers Thanos Metal Poster,,,,,kg,
avengers-thanos-metal-poster,,,,,,,,Size,23x15 (A2),,,,,,0,,,deny,manual,4499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/Avengers_Thanos_Metal_Poster_-_Walltistic.png?v=1773924483,4,Avengers Thanos Metal Poster,,,,,kg,
avengers-thanos-metal-poster,,,,,,,,Size,31x23 (A1),,,,,,0,,,deny,manual,8250.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/Avengers_Thanos_Metal_Poster.png?v=1773924457,5,Avengers Thanos Metal Poster,,,,,kg,
ken-kaneki-metal-poster,Ken Kaneki Metal Poster,"<p data-slate-node=""element"" class=""MsoNormal"" data-slate-fragment=""JTVCJTdCJTIydHlwZSUyMiUzQSUyMmhlYWRpbmctdHdvJTIyJTJDJTIyY2hpbGRyZW4lMjIlM0ElNUIlN0IlMjJ0ZXh0JTIyJTNBJTIyTWV0YWwlMjBQb3N0ZXIlM0ElMjBCcmluZyUyMFlvdXIlMjBBbmltZSUyMFBhc3Npb24lMjB0byUyMExpZmUlMjIlMkMlMjJib2xkJTIyJTNBZmFsc2UlMkMlMjJpdGFsaWMlMjIlM0FmYWxzZSUyQyUyMnVuZGVybGluZSUyMiUzQWZhbHNlJTJDJTIyc3RyaWtldGhyb3VnaCUyMiUzQWZhbHNlJTJDJTIyc3VwZXJzY3JpcHQlMjIlM0FmYWxzZSUyQyUyMnN1YnNjcmlwdCUyMiUzQWZhbHNlJTdEJTVEJTJDJTIyYXR0cmlidXRlcyUyMiUzQSU3QiUyMjAlMjIlM0ElN0IlN0QlN0QlN0QlMkMlN0IlMjJ0eXBlJTIyJTNBJTIycGFyYWdyYXBoJTIyJTJDJTIyY2hpbGRyZW4lMjIlM0ElNUIlN0IlMjJ0ZXh0JTIyJTNBJTIyR2l2ZSUyMHlvdXIlMjB3YWxscyUyMGElMjB3aG9sZSUyMG5ldyUyMGxvb2slMjB3aXRoJTIwb3VyJTIwTWV0YWwlMjBQb3N0ZXIlMkMlMjB0aGUlMjB1bmlxdWUlMjB3YXklMjB0byUyMGV4cHJlc3MlMjB5b3VyJTIwcGFzc2lvbiUyMGZvciUyMGFuaW1lLiUyME91ciUyMGNvbGxlY3Rpb25zJTIwb2YlMjBQb3N0ZXJzJTIwY29uc2lzdCUyMHNvbWUlMjBvZiUyMHlvdXIlMjBmYXZvcml0ZSUyMGFuaW1lJTIwY2hhcmFjdGVycy4lMjBPdXIlMjBNZXRhbCUyMFBvc3RlciUyMHByaW50ZWQlMjBieSUyMGFkdmFuY2VkJTIwcHJpbnQlMjB0ZWNobm9sb2d5JTIwdG8lMjBnaXZlJTIwZWFjaCUyMFBvc3RlcnMlMjBzb21ldGhpbmclMjB0aGF0JTIwaXMlMjBzdXJlJTIwdG8lMjBpbXByZXNzLiUyMElmJTIweW91JTIwd2FudCUyMHRvJTIwZGVjb3JhdGUlMjB5b3VyJTIwYmVkcm9vbSUyQyUyMGxpdmluZyUyMHJvb20lMkMlMjBvciUyMG9mZmljZSUyMHNwYWNlJTJDJTIwb3VyJTIwTWV0YWwlMjBQb3N0ZXJzJTIwc2hvdWxkJTIwYmUlMjB5b3VyJTIwZmlyc3QlMjBjb25zaWRlcmF0aW9uLiUyMiUyQyUyMmJvbGQlMjIlM0FmYWxzZSUyQyUyMml0YWxpYyUyMiUzQWZhbHNlJTJDJTIydW5kZXJsaW5lJTIyJTNBZmFsc2UlMkMlMjJzdHJpa2V0aHJvdWdoJTIyJTNBZmFsc2UlMkMlMjJzdXBlcnNjcmlwdCUyMiUzQWZhbHNlJTJDJTIyc3Vic2NyaXB0JTIyJTNBZmFsc2UlN0QlNUQlMkMlMjJhdHRyaWJ1dGVzJTIyJTNBJTdCJTIyMCUyMiUzQSU3QiU3RCU3RCU3RCUyQyU3QiUyMnR5cGUlMjIlM0ElMjJoZWFkaW5nLXR3byUyMiUyQyUyMmNoaWxkcmVuJTIyJTNBJTVCJTdCJTIydGV4dCUyMiUzQSUyMlN0dW5uaW5nJTIwQW5pbWUlMjBXYWxsJTIwUG9zdGVycyUyMHdpdGglMjBEdXJhYmxlJTIwUHJpbnQlMjBRdWFsaXR5JTIyJTJDJTIyYm9sZCUyMiUzQWZhbHNlJTJDJTIyaXRhbGljJTIyJTNBZmFsc2UlMkMlMjJ1bmRlcmxpbmUlMjIlM0FmYWxzZSUyQyUyMnN0cmlrZXRocm91Z2glMjIlM0FmYWxzZSUyQyUyMnN1cGVyc2NyaXB0JTIyJTNBZmFsc2UlMkMlMjJzdWJzY3JpcHQlMjIlM0FmYWxzZSU3RCU1RCUyQyUyMmF0dHJpYnV0ZXMlMjIlM0ElN0IlMjIwJTIyJTNBJTdCJTdEJTdEJTdEJTJDJTdCJTIydHlwZSUyMiUzQSUyMnBhcmFncmFwaCUyMiUyQyUyMmNoaWxkcmVuJTIyJTNBJTVCJTdCJTIydGV4dCUyMiUzQSUyMk91ciUyME1ldGFsJTIwcG9zdGVyJTIwYXJlJTIwbWFkZSUyMHRvJTIwaW1wcmVzcyUyQyUyMHdoaWNoJTIwaXMlMjBtYWRlJTIwb2YlMjAxbW0lMjBhbG11bml1bSUyMHNoZWV0JTIwd2hpY2glMjBtZWFucyUyMHRoZXklMjBjYW5ub3QlMjBmYWRlJTIwaW4lMjBjb2xvciUyMG9yJTIwZmFsbCUyMGFwYXJ0JTIwYmVjYXVzZSUyMHRoZXklMjBhcmUlMjBkdXJhYmxlJTIwYW5kJTIwd2F0ZXIlMjByZXNpc3RhbnQuJTIwQXMlMjBjb21wYXJlZCUyMHRvJTIwdHJhZGl0aW9uYWwlMjBwYXBlciUyMHBvc3RlcnMlMkMlMjBvdXIlMjBwb3N0ZXJzJTIwY2FuJTIwYmUlMjBwbGFjZWQlMjBldmVuJTIwaW4lMjB0aGUlMjB3b3JzdCUyMHBvc3NpYmxlJTIwY29uZGl0aW9ucyUyMHdpdGhvdXQlMjBsb3NpbmclMjB0aGVpciUyMHRvdGFsJTIwdmlzdWFsJTIwY29sb3IlMjB2aWJyYW5jeS4lMjBPdXIlMjBtZXRhbCUyMHdhbGwlMjBhcnQlMjBoYXMlMjBicmlnaHQlMjBjb2xvcnMlMkMlMjBzaGFycCUyMGRldGFpbHMlMjBhbmQlMjBhbiUyMG92ZXJhbGwlMjBhdHRyYWN0aXZlJTIwYXBwZWFyYW5jZSUyMHNvJTIwdGhhdCUyMGV2ZXJ5JTIwcGllY2UlMjBsb29rcyUyMGxpa2UlMjBhcnR3b3JrLiUyMiUyQyUyMmJvbGQlMjIlM0FmYWxzZSUyQyUyMml0YWxpYyUyMiUzQWZhbHNlJTJDJTIydW5kZXJsaW5lJTIyJTNBZmFsc2UlMkMlMjJzdHJpa2V0aHJvdWdoJTIyJTNBZmFsc2UlMkMlMjJzdXBlcnNjcmlwdCUyMiUzQWZhbHNlJTJDJTIyc3Vic2NyaXB0JTIyJTNBZmFsc2UlN0QlNUQlMkMlMjJhdHRyaWJ1dGVzJTIyJTNBJTdCJTIyMCUyMiUzQSU3QiU3RCU3RCU3RCUyQyU3QiUyMnR5cGUlMjIlM0ElMjJoZWFkaW5nLXR3byUyMiUyQyUyMmNoaWxkcmVuJTIyJTNBJTVCJTdCJTIydGV4dCUyMiUzQSUyMkVhc3klMjBJbnN0YWxsYXRpb24lM0ElMjBObyUyME5haWxzJTJDJTIwTm8lMjBIb2xlcyUyMG9uJTIwV2FsbCUyMiUyQyUyMmJvbGQlMjIlM0FmYWxzZSUyQyUyMml0YWxpYyUyMiUzQWZhbHNlJTJDJTIydW5kZXJsaW5lJTIyJTNBZmFsc2UlMkMlMjJzdHJpa2V0aHJvdWdoJTIyJTNBZmFsc2UlMkMlMjJzdXBlcnNjcmlwdCUyMiUzQWZhbHNlJTJDJTIyc3Vic2NyaXB0JTIyJTNBZmFsc2UlN0QlNUQlMkMlMjJhdHRyaWJ1dGVzJTIyJTNBJTdCJTIyMCUyMiUzQSU3QiU3RCU3RCU3RCUyQyU3QiUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJjaGlsZHJlbiUyMiUzQSU1QiU3QiUyMnRleHQlMjIlM0ElMjJPdXIlMjB1bmlxdWUlMjBtYWduZXRpYyUyMG1vdW50aW5nJTIwa2l0JTIwYWxsb3dzJTIwZWFzeSUyMGluc3RhbGxhdGlvbiUyMG9mJTIwcG9zdGVycy4lMjBTaW1wbHklMjBhcHBseSUyMHRoZSUyMG1hZ25ldGljJTIwbW91bnRpbmclMjBzeXN0ZW0lMjB0byUyMGElMjB3YWxsJTIwc3VyZmFjZSUyQyUyMGdpdmluZyUyMGElMjBwcm9mZXNzaW9uYWwlMjBhcHBlYXJhbmNlJTJDJTIwYW5kJTIwcmVtb3ZlJTIwb3IlMjByZWxvY2F0ZSUyMGF0JTIwYW55JTIwdGltZSUyMHdoZW4lMjB5b3UlMjB3aXNoJTIwdG8lMjB1cGdyYWRlJTIwdGhlJTIwcm9vbSUyMGRlY29yLiUyMEElMjBzbWFydCUyMGFuZCUyMGVhc3klMjB3YXklMjB0byUyMGhhbmclMjBpdGVtcyUyMHdpdGhvdXQlMjBkYW1hZ2luZyUyMHRoZSUyMHdhbGxzJTIwb3IlMjBjZWlsaW5ncyUyMGluJTIweW91ciUyMGhvbWUuJTIyJTJDJTIyYm9sZCUyMiUzQWZhbHNlJTJDJTIyaXRhbGljJTIyJTNBZmFsc2UlMkMlMjJ1bmRlcmxpbmUlMjIlM0FmYWxzZSUyQyUyMnN0cmlrZXRocm91Z2glMjIlM0FmYWxzZSUyQyUyMnN1cGVyc2NyaXB0JTIyJTNBZmFsc2UlMkMlMjJzdWJzY3JpcHQlMjIlM0FmYWxzZSU3RCU1RCUyQyUyMmF0dHJpYnV0ZXMlMjIlM0ElN0IlMjIwJTIyJTNBJTdCJTdEJTdEJTdEJTJDJTdCJTIydHlwZSUyMiUzQSUyMmhlYWRpbmctdHdvJTIyJTJDJTIyY2hpbGRyZW4lMjIlM0ElNUIlN0IlMjJ0ZXh0JTIyJTNBJTIyRWxldmF0ZSUyMFlvdXIlMjBSb29tJTIwRGVjb3IlMjB3aXRoJTIwYSUyMEJvbGQlMjBTdGF0ZW1lbnQlMjBQaWVjZSUyMiUyQyUyMmJvbGQlMjIlM0FmYWxzZSUyQyUyMml0YWxpYyUyMiUzQWZhbHNlJTJDJTIydW5kZXJsaW5lJTIyJTNBZmFsc2UlMkMlMjJzdHJpa2V0aHJvdWdoJTIyJTNBZmFsc2UlMkMlMjJzdXBlcnNjcmlwdCUyMiUzQWZhbHNlJTJDJTIyc3Vic2NyaXB0JTIyJTNBZmFsc2UlN0QlNUQlMkMlMjJhdHRyaWJ1dGVzJTIyJTNBJTdCJTIyMCUyMiUzQSU3QiU3RCU3RCU3RCUyQyU3QiUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJjaGlsZHJlbiUyMiUzQSU1QiU3QiUyMnRleHQlMjIlM0ElMjJBcmUlMjB5b3UlMjBpbiUyMHNlYXJjaCUyMG9mJTIwdXBncmFkaW5nJTIweW91ciUyMHJvb20lMjBkZWNvciUzRiUyME1ldGFsJTIwcG9zdGVyJTIwY2FuJTIwZWFzaWx5JTIwYnJpbmclMjBsaWZlJTIwYmFjayUyMGludG8lMjBhbnklMjBwYXJ0JTIwb2YlMjB5b3VyJTIwaG9tZS4lMjBXaGV0aGVyJTIwaXQncyUyMGElMjBiZWRyb29tJTJDJTIwaG9tZSUyMG9mZmljZSUyMG9yJTIwbG91bmdlJTJDJTIwb3VyJTIwd2FsbCUyMGFydCUyMGNhbiUyMGJyaW5nJTIwcGVyc29uYWxpdHklMjB0byUyMGFueSUyMHJvb20uJTIwJTIwTW9kZXJuJTIwYW5kJTIwdmVyeSUyMGRpZmZlcmVudCUyMGZyb20lMjBhbnl0aGluZyUyMHlvdSd2ZSUyMGV2ZXIlMjBwdXJjaGFzZWQlMjBiZWZvcmUlM0IlMjB0aGlzJTIwaXMlMjBkZWZpbml0ZWx5JTIwYW4lMjBhZmZvcmRhYmxlJTIwbWV0aG9kJTIwb2YlMjB1cGdyYWRpbmclMjB5b3VyJTIwaG9tZSdzJTIwaW50ZXJpb3IlMjBkZXNpZ24uJTIyJTJDJTIyYm9sZCUyMiUzQWZhbHNlJTJDJTIyaXRhbGljJTIyJTNBZmFsc2UlMkMlMjJ1bmRlcmxpbmUlMjIlM0FmYWxzZSUyQyUyMnN0cmlrZXRocm91Z2glMjIlM0FmYWxzZSUyQyUyMnN1cGVyc2NyaXB0JTIyJTNBZmFsc2UlMkMlMjJzdWJzY3JpcHQlMjIlM0FmYWxzZSU3RCU1RCUyQyUyMmF0dHJpYnV0ZXMlMjIlM0ElN0IlMjIwJTIyJTNBJTdCJTdEJTdEJTdEJTJDJTdCJTIydHlwZSUyMiUzQSUyMmhlYWRpbmctdHdvJTIyJTJDJTIyY2hpbGRyZW4lMjIlM0ElNUIlN0IlMjJ0ZXh0JTIyJTNBJTIyRHVyYWJsZSUyQyUyMENhcmVmdWxseSUyMFBhY2thZ2VkJTIwYW5kJTIwUmVhZHklMjB0byUyMEltcHJlc3MlMjIlMkMlMjJib2xkJTIyJTNBZmFsc2UlMkMlMjJpdGFsaWMlMjIlM0FmYWxzZSUyQyUyMnVuZGVybGluZSUyMiUzQWZhbHNlJTJDJTIyc3RyaWtldGhyb3VnaCUyMiUzQWZhbHNlJTJDJTIyc3VwZXJzY3JpcHQlMjIlM0FmYWxzZSUyQyUyMnN1YnNjcmlwdCUyMiUzQWZhbHNlJTdEJTVEJTJDJTIyYXR0cmlidXRlcyUyMiUzQSU3QiUyMjAlMjIlM0ElN0IlN0QlN0QlN0QlMkMlN0IlMjJ0eXBlJTIyJTNBJTIycGFyYWdyYXBoJTIyJTJDJTIyY2hpbGRyZW4lMjIlM0ElNUIlN0IlMjJ0ZXh0JTIyJTNBJTIyV2UlMjBlbnN1cmUlMjB0aGF0JTIwZWFjaCUyMGFuZCUyMGV2ZXJ5JTIwbWV0YWwlMjBwb3N0ZXIlMjB5b3UlMjBidXklMjBpcyUyMHByb3Blcmx5JTIwcGFja2VkJTIwYW5kJTIwcHJlcGFyZWQlMjBmb3IlMjBzaGlwcGluZyUyMHNvJTIwdGhhdCUyMHRoZXklMjBhcnJpdmUlMjBpbiUyMHBlcmZlY3QlMjBjb25kaXRpb24lMkMlMjByZWFkeSUyMHRvJTIwYmUlMjBkaXNwbGF5ZWQuJTIwV2UlMjBtYWtlJTIwc3VyZSUyMG91ciUyMHBvc3RlcnMlMjBhcmUlMjBtYWRlJTIwZnJvbSUyMHRvdWdoJTIwbWF0ZXJpYWxzJTIwdG8lMjB3aXRoc3RhbmQlMjB0aGUlMjB0ZXN0JTIwb2YlMjB0aW1lJTIwYW5kJTIwY2FuJTIwYWxzbyUyMGJlJTIwdXNlZCUyMGFzJTIwbG9uZy1sYXN0aW5nJTJDJTIwd2F0ZXItcmVzaXN0YW50JTJDJTIwYW5kJTIwc2NyYXRjaC1yZXNpc3RhbnQlMjBxdWFsaXR5JTIwd2FsbCUyMGFydC4lMjIlMkMlMjJib2xkJTIyJTNBZmFsc2UlMkMlMjJpdGFsaWMlMjIlM0FmYWxzZSUyQyUyMnVuZGVybGluZSUyMiUzQWZhbHNlJTJDJTIyc3RyaWtldGhyb3VnaCUyMiUzQWZhbHNlJTJDJTIyc3VwZXJzY3JpcHQlMjIlM0FmYWxzZSUyQyUyMnN1YnNjcmlwdCUyMiUzQWZhbHNlJTdEJTVEJTJDJTIyYXR0cmlidXRlcyUyMiUzQSU3QiUyMjAlMjIlM0ElN0IlN0QlN0QlN0QlNUQ="">This premium Ken Kaneki Metal Poster brings Tokyo Ghoul to life with razor-sharp HD print on sleek aluminum. Unleash the power of the One-Eyed King! Waterproof, long-lasting &amp; strikingly bold. Transform your walls today! Shop Now at Walltistic.com""<span data-slate-node=""text""><span data-slate-leaf=""true""><span data-slate-string=""true""></span></span></span></p>",MetalPosters,,UHD Metal Poster,"Anime, Best Seller, Metal Poster, New Arrival",true,Size,8x5.5 (A5),,,,,,0,,,deny,manual,999.00,999.00,true,false,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/1_74f94f71-21cd-4f4f-9430-d025f3aafb42.png?v=1771685343,1,Ken Kaneki Metal Poster,false,Ken Kaneki Metal Poster,"This premium Ken Kaneki Metal Poster brings Tokyo Ghoul to life with razor-sharp HD print on sleek aluminum. Unleash the power of the One-Eyed King! Waterproof, long-lasting & strikingly bold. Transform your walls today! Shop Now at Walltistic.com""",,kg,active
ken-kaneki-metal-poster,,,,,,,,Size,8x11 (A4),,,,,,0,,,deny,manual,1499.00,1499.00,true,false,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/2_f98a510c-d32f-45f7-b9a9-c460615b78be.png?v=1771685349,2,Ken Kaneki Metal Poster,,,,,kg,
ken-kaneki-metal-poster,,,,,,,,Size,15x11 (A3),,,,,,0,,,deny,manual,2999.00,2999.00,true,false,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/3_b802d108-d336-48f2-a9dc-dd0d11824e90.png?v=1771685354,3,Ken Kaneki Metal Poster,,,,,kg,
ken-kaneki-metal-poster,,,,,,,,Size,23x15 (A2),,,,,,0,,,deny,manual,5499.00,5499.00,true,false,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/4_225ac02c-1ad4-4a1e-97e9-d6d42f7ec777.png?v=1771685361,4,Ken Kaneki Metal Poster,,,,,kg,
ken-kaneki-metal-poster,,,,,,,,Size,31x23 (A1),,,,,,0,,,deny,manual,9999.00,9999.00,true,false,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/5_bf707367-88ef-48e9-8325-1120332d0ab6.png?v=1771685366,5,Ken Kaneki Metal Poster,,,,,kg,
ken-kaneki-metal-poster,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/6_6a805edb-848e-4ebd-8fb3-dc7a5e70efd8.png?v=1771685372,6,Ken Kaneki Metal Poster,,,,,,
